Category,YouTube_Link
Laugh,https://www.youtube.com/@CarryMinati
Laugh,https://www.youtube.com/@ashishchanchlani
Laugh,https://www.youtube.com/@Round2hell
Laugh,https://www.youtube.com/@HarshBeniwal
Laugh,https://www.youtube.com/@BBKiVines
Laugh,https://www.youtube.com/@TriggeredInsaan
Laugh,https://www.youtube.com/@slayyypointofficial
Laugh,https://www.youtube.com/@AmitBhadana
Laugh,https://www.youtube.com/@OnlyDesi
Laugh,https://www.youtube.com/@ThePJExplained
Sad Recovery,https://www.youtube.com/watch?v=mgmVOuLgFB0
Sad Recovery,https://www.youtube.com/watch?v=IdTMDpizis8
Sad Recovery,https://www.youtube.com/watch?v=sTJ7AzBIJoI
Sad Recovery,https://www.youtube.com/watch?v=3Uo0JAUWijM
Sad Recovery,https://www.youtube.com/watch?v=inpok4MKVLM
Sad Recovery,https://www.youtube.com/watch?v=ZToicYcHIOU
Sad Recovery,https://www.youtube.com/watch?v=2OEL4P1Rz04
Sad Recovery,https://www.youtube.com/watch?v=lFcSrYw-ARY
Sad Recovery,https://www.youtube.com/watch?v=1ZYbU82GVz4
Sad Recovery,https://www.youtube.com/watch?v=tybOi4hjZFQ
Motivation,https://www.youtube.com/watch?v=UNQhuFL6CWg
Motivation,https://www.youtube.com/watch?v=wnHW6o8WMas
Motivation,https://www.youtube.com/watch?v=ZXsQAXx_ao0
Motivation,https://www.youtube.com/watch?v=26U_seo0a1g
Motivation,https://www.youtube.com/watch?v=Tq1r6FiBfrE
Motivation,https://www.youtube.com/watch?v=7Oxz060iedY
Motivation,https://www.youtube.com/watch?v=KxGRhd_iWuE
Motivation,https://www.youtube.com/watch?v=LsV2GWlGh-o
Motivation,https://www.youtube.com/watch?v=UfcAVejslrU
Calm Down,https://www.youtube.com/watch?v=O-6f5wQXSu8
Calm Down,https://www.youtube.com/watch?v=aIIEI33EUqI
Calm Down,https://www.youtube.com/watch?v=qYnA9wWFHLI
Calm Down,https://www.youtube.com/watch?v=5qap5aO4i9A
Calm Down,https://www.youtube.com/watch?v=jfKfPfyJRdk
Anxiety Relief,https://www.youtube.com/watch?v=SEfs5TJZ6Nk
Anxiety Relief,https://www.youtube.com/watch?v=nmFUDkj1Aq0
Anxiety Relief,https://www.youtube.com/watch?v=acUZdGd_3Dg
Anxiety Relief,https://www.youtube.com/watch?v=MIr3RsUWrdo
Focus Music,https://www.youtube.com/watch?v=DWcJFNfaw9c
Focus Music,https://www.youtube.com/watch?v=Na0w3Mz46GA
Focus Music,https://www.youtube.com/watch?v=WPni755-Krg
Focus Music,https://www.youtube.com/watch?v=hHW1oY26kxQ
Focus Music,https://www.youtube.com/watch?v=4xDzrJKXOOY
