emotion,support_type,youtube_link
sadness,comfort,https://www.youtube.com/watch?v=inpok4MKVLM
sadness,comfort,https://www.youtube.com/watch?v=ZToicYcHIOU
sadness,motivation,https://www.youtube.com/watch?v=mgmVOuLgFB0
sadness,calm_music,https://www.youtube.com/watch?v=lFcSrYw-ARY
sadness,recovery,https://www.youtube.com/watch?v=1ZYbU82GVz4
anxiety,breathing,https://www.youtube.com/watch?v=tybOi4hjZFQ
anxiety,grounding,https://www.youtube.com/watch?v=SEfs5TJZ6Nk
anxiety,meditation,https://www.youtube.com/watch?v=nmFUDkj1Aq0
anxiety,relaxation,https://www.youtube.com/watch?v=MIr3RsUWrdo
anxiety,calm_music,https://www.youtube.com/watch?v=O-6f5wQXSu8
stress,focus_reset,https://www.youtube.com/watch?v=jfKfPfyJRdk
stress,calm_music,https://www.youtube.com/watch?v=5qap5aO4i9A
stress,mindfulness,https://www.youtube.com/watch?v=acUZdGd_3Dg
stress,breathing,https://www.youtube.com/watch?v=2OEL4P1Rz04
stress,motivation,https://www.youtube.com/watch?v=UNQhuFL6CWg
anger,cooldown_music,https://www.youtube.com/watch?v=qYnA9wWFHLI
anger,breathing,https://www.youtube.com/watch?v=O-6f5wQXSu8
anger,calming_video,https://www.youtube.com/watch?v=aIIEI33EUqI
anger,mindfulness,https://www.youtube.com/watch?v=inpok4MKVLM
anger,recovery,https://www.youtube.com/watch?v=1ZYbU82GVz4
burnout,motivation,https://www.youtube.com/watch?v=7Oxz060iedY
burnout,focus_music,https://www.youtube.com/watch?v=DWcJFNfaw9c
burnout,mindful_break,https://www.youtube.com/watch?v=Na0w3Mz46GA
burnout,recovery,https://www.youtube.com/watch?v=WPni755-Krg
burnout,calm_music,https://www.youtube.com/watch?v=hHW1oY26kxQ
loneliness,comfort,https://www.youtube.com/watch?v=IdTMDpizis8
loneliness,motivation,https://www.youtube.com/watch?v=LsV2GWlGh-o
loneliness,calm_music,https://www.youtube.com/watch?v=lFcSrYw-ARY
loneliness,mindfulness,https://www.youtube.com/watch?v=ZToicYcHIOU
loneliness,recovery,https://www.youtube.com/watch?v=3Uo0JAUWijM
overthinking,grounding,https://www.youtube.com/watch?v=SEfs5TJZ6Nk
overthinking,meditation,https://www.youtube.com/watch?v=nmFUDkj1Aq0
overthinking,focus_music,https://www.youtube.com/watch?v=5qap5aO4i9A
overthinking,breathing,https://www.youtube.com/watch?v=tybOi4hjZFQ
overthinking,mindfulness,https://www.youtube.com/watch?v=acUZdGd_3Dg
fatigue,energy_reset,https://www.youtube.com/watch?v=26U_seo0a1g
fatigue,calm_focus,https://www.youtube.com/watch?v=n61ULEU7CO0
fatigue,motivation,https://www.youtube.com/watch?v=Tq1r6FiBfrE
fatigue,recovery_music,https://www.youtube.com/watch?v=3pRFKSIq3ec
fatigue,mindful_break,https://www.youtube.com/watch?v=4xDzrJKXOOY
joy,celebration,https://www.youtube.com/@CarryMinati
joy,funny,https://www.youtube.com/@ashishchanchlani
joy,comedy,https://www.youtube.com/@Round2hell
joy,entertainment,https://www.youtube.com/@HarshBeniwal
joy,positivity,https://www.youtube.com/@BBKiVines
